Player,Team,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary,PlayerID
Dāvis Bertāns,CHO,PF,31.0,43.0,1.0,15.674418604651162,2.13953488372093,5.441860465116279,0.393,1.7674418604651163,4.651162790697675,0.38,0.3720930232558139,0.7906976744186046,0.471,0.6976744186046512,0.7674418604651163,0.909,0.2093023255813953,1.2093023255813953,1.4186046511627908,0.813953488372093,0.6046511627906976,0.2790697674418604,0.4186046511627907,1.302325581395349,6.744186046511628,5250000.0,370
Marcus Smart,MEM,PG,29.0,20.0,20.0,30.25,5.1,11.85,0.43,2.1,6.7,0.313,3.0,5.15,0.583,2.15,2.8,0.768,0.3,2.35,2.65,4.3,2.05,0.25,3.1,2.65,14.45,20210284.0,371
Craig Porter Jr.,CLE,PG,23.0,51.0,6.0,12.72549019607843,2.2745098039215685,4.470588235294118,0.509,0.2352941176470588,0.6666666666666666,0.353,2.0392156862745097,3.803921568627451,0.536,0.803921568627451,1.0980392156862746,0.732,0.4117647058823529,1.7254901960784317,2.1372549019607843,2.313725490196078,0.4117647058823529,0.2941176470588235,0.8823529411764706,0.7843137254901961,5.588235294117647,1891857.0,372
Max Christie,LAL,SG,20.0,67.0,7.0,14.08955223880597,1.537313432835821,3.5970149253731343,0.427,0.6268656716417911,1.7611940298507462,0.356,0.9104477611940298,1.835820895522388,0.496,0.5373134328358209,0.6865671641791045,0.783,0.2238805970149253,1.8955223880597007,2.1194029850746268,0.8955223880597015,0.2985074626865671,0.2537313432835821,0.5223880597014925,0.8507462686567164,4.2388059701492535,7142857.0,373
Xavier Tillman Sr.,BOS,PF,25.0,54.0,15.0,18.03703703703704,2.240740740740741,5.166666666666667,0.434,0.3703703703703703,1.5,0.247,1.8703703703703705,3.6666666666666665,0.51,0.4074074074074074,0.925925925925926,0.44,1.2962962962962965,2.611111111111111,3.907407407407408,1.4259259259259258,0.9444444444444444,0.8148148148148148,0.6296296296296297,1.3888888888888888,5.25925925925926,2237691.0,374
Josh Okogie,PHO,SG,25.0,60.0,11.0,16.0,1.4333333333333331,3.433333333333333,0.417,0.4833333333333333,1.5666666666666669,0.309,0.95,1.8666666666666667,0.509,1.2666666666666666,1.7,0.745,1.2333333333333334,1.3333333333333333,2.566666666666667,1.0666666666666669,0.8,0.4,0.6,1.1333333333333333,4.616666666666666,8250000.0,375
Jaylin Williams,OKC,C,21.0,69.0,1.0,13.0,1.3768115942028984,3.3043478260869565,0.417,0.7681159420289855,2.0869565217391304,0.368,0.6086956521739131,1.2173913043478262,0.5,0.4782608695652174,0.5942028985507246,0.805,0.5217391304347826,2.869565217391304,3.391304347826087,1.5942028985507246,0.4057971014492754,0.391304347826087,0.4927536231884058,1.420289855072464,4.0,2019699.0,376
Jock Landale,HOU,C,28.0,56.0,3.0,13.625,1.8928571428571428,3.678571428571429,0.515,0.1785714285714285,0.7142857142857143,0.25,1.7142857142857142,2.9642857142857144,0.578,0.9285714285714286,1.1607142857142858,0.8,1.5714285714285714,1.5,3.071428571428572,1.1607142857142858,0.3571428571428571,0.5892857142857143,0.5535714285714286,1.3214285714285714,4.892857142857143,8000000.0,377
Blake Wesley,SAS,SG,20.0,61.0,3.0,14.36065573770492,1.6721311475409837,3.5245901639344264,0.474,0.1967213114754098,0.9016393442622952,0.218,1.475409836065574,2.622950819672131,0.563,0.8524590163934426,1.278688524590164,0.667,0.2950819672131147,1.2459016393442623,1.540983606557377,2.721311475409836,0.4754098360655737,0.1475409836065573,0.9016393442622952,1.459016393442623,4.39344262295082,2624280.0,378
Jae'Sean Tate,HOU,SF,28.0,65.0,9.0,15.861538461538462,1.6615384615384616,3.523076923076923,0.472,0.3538461538461538,1.1846153846153846,0.299,1.3076923076923077,2.3384615384615386,0.559,0.4,0.6,0.667,0.9384615384615383,2.0923076923076924,3.0307692307692307,0.9846153846153848,0.6461538461538462,0.2307692307692307,0.5692307692307692,2.107692307692308,4.076923076923077,7065217.0,379
